movie_id|poster_image|name|born
415170|http://image.tmdb.org/t/p/w300/dMjEMuNXIT3g66qv92DOUVGBFC8.jpg|Diane Lane|1965
415171|http://image.tmdb.org/t/p/w300/784nHLVWdenOyVkrZEbNLLOpU5a.jpg|Russell Crowe|1964
415172|http://image.tmdb.org/t/p/w300/5yGCJ6znHM96zTfW2LNP6uPPDCZ.jpg|Michael Shannon|1974
415173|http://image.tmdb.org/t/p/w300/gRbHrKrrTrQ0FBp1o7fvpItiWmf.jpg|Kevin Costner|1955
415174|http://image.tmdb.org/t/p/w300/qUxRtuQxWcuaUitnKoTyKgeIitu.jpg|Christopher Meloni|1961
415175|http://image.tmdb.org/t/p/w300/rsyr1zkli5QHxcyH06P37Fog44y.jpg|Tahmoh Penikett|1975
415176|http://image.tmdb.org/t/p/w300/iemm6n5z6v5aZfUiBgW8zrqVPzA.jpg|Ayelet Zurer|1969
415177|http://image.tmdb.org/t/p/w300/xWbtFJyN8ynIpdKNCB0KpsKldM7.jpg|Antje Traue|1981
415178|http://image.tmdb.org/t/p/w300/gHFxL7MIGvmcbg5hhTNrbjIttQN.jpg|Richard Schiff|1955
415179|http://image.tmdb.org/t/p/w300/gAs86I3KYkx4KNU767P26BjKO9I.jpg|Dylan Sprayberry|1998
415180|http://image.tmdb.org/t/p/w300/iivECyPFmK7SeT3iBtmOgz3n3M7.jpg|Michael Kelly|1969
415181|http://image.tmdb.org/t/p/w300/rEnVfc4Xb0M5T1QvtN1k2xJ8RbX.jpg|Carla Gugino|1971
415182|http://image.tmdb.org/t/p/w300/rYkz9NRfhVzgDbpXHRWqLkvjlgh.jpg|Mackenzie Gray|1957
415183|http://image.tmdb.org/t/p/w300/bbVRUCBwztY0mUzXdAmMgHocNSU.jpg|Julian Richings|1955
415184|http://image.tmdb.org/t/p/w300/1iKAlGuuipxIpemrhd6Iq4hKvzg.jpg|Alessandro Juliani|1978
415185|http://image.tmdb.org/t/p/w300/jDzkAorXMwsrHF3VzpvNiK8JS9y.jpg|Zack Snyder|1966
415186|http://image.tmdb.org/t/p/w300/dZZfxdv6yFqame3K4Y6IT4s17EV.jpg|Christopher Nolan|1970
415187|http://image.tmdb.org/t/p/w300/6hTxSi6BaCWDCsp7pTsDjG1H148.jpg|David S. Goyer|1965
415191|http://image.tmdb.org/t/p/w300/tMfElfQPTFMyDFCGp0FbdicOGFx.jpg|Gwyneth Paltrow|1972
415192|http://image.tmdb.org/t/p/w300/eronr4zagxsKCBkGsFBDBCOqyma.jpg|Jeff Bridges|1949
415193|http://image.tmdb.org/t/p/w300/veEGKSK07cbc97BHJAPnPIJlhqI.jpg|Terrence Howard|1969
415194|http://image.tmdb.org/t/p/w300/oBoQFa4vvwXsW8PhaAsOmm75gkW.jpg|Leslie Bibb|1974
415195|http://image.tmdb.org/t/p/w300/wLCXqzUSYDei84yozImWpLy2ZJ2.jpg|Faran Tahir|1963
415196|http://image.tmdb.org/t/p/w300/iDtxXJXmJGU7jYRjsvePNQblHV1.jpg|Robert Downey Jr.|1965
415197|http://image.tmdb.org/t/p/w300/t8CLS2Zcy7IjcZkE1vtxl40h9rh.jpg|Clark Gregg|1962
415198|http://image.tmdb.org/t/p/w300/sJSGJwGa3hjMlJNUCxF7wQwo7fb.jpg|Jon Favreau|1966
415199|http://image.tmdb.org/t/p/w300/2wlX6TzKnghrZHIdbtA2oKxKHcv.jpg|Peter Billingsley|1971
415200|http://image.tmdb.org/t/p/w300/nG3ma2vCYu4GksyeAxIABisqZMD.jpg|Tim Guinee|1962
415201|http://image.tmdb.org/t/p/w300/teciwVY9DIDNyCuYybKgrebF8bC.jpg|Samuel L. Jackson|1948
415202|http://image.tmdb.org/t/p/w300/rO5wJpx7ZlT6RaunZw20OGF6O2Y.jpg|Bill Smitrovich|1947
415203|http://image.tmdb.org/t/p/w300/xYU1FSeQhXLyg6VskqRBofFyoU8.jpg|Will Lyman|1948
415204|http://image.tmdb.org/t/p/w300/7QQmzUqv8trWHBLKlDeeYYkZ4Gt.jpg|Tom Morello|1964
415205|http://image.tmdb.org/t/p/w300/vJjVnmcnSkq6OhcdpVPzGO42sLC.jpg|Ahmed Ahmed|1970
415206|http://image.tmdb.org/t/p/w300/ybLWM4LBYrsqZ3h2qgn2zOUiIX0.jpg|Fahim Fazli|1966
415207|http://image.tmdb.org/t/p/w300/dTr2gJPL7jELKVkcjtoNx80uVKR.jpg|Stan Lee|1922
415208|http://image.tmdb.org/t/p/w300/8jRaYHrZX6sZoUOOXZI1H6EQNQa.jpg|Joshua Harto|1979
415209|http://image.tmdb.org/t/p/w300/7xIpgKu6A62ckDEg76ZcqC0cjY6.jpg|America Olivo|1978
415219|http://image.tmdb.org/t/p/w300/AvGzQ8fvjurGmZW3W1wlQ5WfSeT.jpg|Mickey Rourke|1952
